date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:01	7469/7469	---M--	200	added ('OK')	text/html	etag:%221d2d-62b92c330e743%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_index.html	(from )
17:47:02	10591/10591	---M--	200	added ('OK')	text/css	etag:%22295f-62b943a1c9430%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/style.css	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/style.css	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:03	8864/8864	---M--	200	added ('OK')	text/html	etag:%2222a0-62b92c2e4c840%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/index.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/index.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:04	414/414	---M--	200	added ('OK')	image/png	etag:%2219e-62b92c2f6829a%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/pics/l_d_arw.png	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/pics/l_d_arw.png	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:05	6159/6159	---M--	200	added ('OK')	text/html	etag:%22180f-62b92c32c4ac3%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/refs.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/refs.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:06	393/393	---M--	200	added ('OK')	image/png	etag:%22189-62b92c2efebb7%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/pics/l_arw.png	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/pics/l_arw.png	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:07	5956/5956	---M--	200	added ('OK')	text/html	etag:%221744-62b93be0440bb%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_preamble.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_preamble.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:08	412/412	---M--	200	added ('OK')	image/png	etag:%2219c-62b92c3024d4c%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/pics/r_arw.png	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/pics/r_arw.png	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:09	14813/14813	---M--	200	added ('OK')	text/html	etag:%2239dd-62b92c32ea859%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_specs.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_specs.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:10	13128/13128	---M--	200	added ('OK')	text/html	etag:%223348-62b92c33299a8%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_coms.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_coms.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:11	11084/11084	---M--	200	added ('OK')	text/html	etag:%222b4c-62b92c2e407ee%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_design.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_design.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:12	22650/22650	---M--	200	added ('OK')	text/html	etag:%22587a-62bbdd153f363%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_vivado.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_vivado.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:13	13835/13835	---M--	200	added ('OK')	text/html	etag:%22360b-62b92c32fce6c%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_group.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_group.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:14	8394/8394	---M--	200	added ('OK')	text/html	etag:%2220ca-648bb3a87a758%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_deliverables.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_deliverables.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:15	16254/16254	---M--	200	added ('OK')	text/html	etag:%223f7e-62b92c337f489%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_design_approach.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_design_approach.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:16	2665/2665	---M--	200	added ('OK')	text/html	etag:%22a69-62b92c33d82e5%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_refs.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/A2_refs.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:17	243/243	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2012%20Mar%202026%2017:47:17%20GMT	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/index_vivado.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/index_vivado.htm	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/A2_index.htm)
17:47:18	9237/9237	---M--	200	added ('OK')	text/html	etag:%222415-62b92c25eec67%22	https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/preamble.htm	/Users/Charlie/Desktop/university/EEME20002/TB2/seis.bristol.ac.uk/_sy13201/digital_design/ECAD/preamble.html	(from https://seis.bristol.ac.uk/~sy13201/digital_design/ECAD/index.htm)
